D4C5D3C;D8H9SQD5S4
C8CKS9H6;D4S8HQC2DA
C7H9D6S2D9;S7S9D10D3C7
H5S8D7S2;C3S7S9S3S5
D9DAD5H10;S2C5H5DKH9
C6D10C5S7H2;D9S8HQH10
S10CKC2D5C3;HKDQSJDA
CKSQS10D4;H5HKS5S7H4
D8D2CKD3S4;D6CQD5S9
S3C7D7CAS2;D8SKS4C3
DAHQH7D6C6;C5SQS8C3
QC6CQC8C9;H6S5SKDJHQ
HJHQHKC4;D9S5DAS8H7
DJS8H8HA;DASKC5D10CK
DQD3SKSQC10;HKH8H10D8
C3D2C9H6HJ;HQCJS5H3
SKH7SQS8;H9S9H2C7C10
DKDQC7C3;C8H4S7HJD10
C2S8SKD7CK;D2H4H8S5
D6S9C9DQ;H3C8D8H4H6
S4H2S9SK;CAH8S5D2C6
HKC7D10S3;HJC8CAD6S8
H2S7S8S4;D6HJH8DJS3
C4HJDKSJ;C2DQH5SQS4
C3D6S8HQDQ;D8C2SQC4
SQC9C10HKHJ;D2S8D9S4
S4C8H5C10D9;SJD3C9D10
S7H7CKHACQ;D2C6S8S2
H10SJD2S4;C4H2H5DKCJ
DKS7HQH6H9;HKS8C9H4
D5H6S3C4;C3D3C10D7H7
H7D2CJD5D4;CQHQC6CK
HJH9DQS4;D6D4CAS9HK
D3H2D10HJH6;C5S7H7HQ
S3SJH10C2SQ;H4S6CKD5
C8HJSJDK;CAHAH2C2H7
D5DQH7SJD2;CKH8S7C7
SQS3S6C7H2;H9HACAD8
S6CQS4S5DK;C10SKCKSQ
C3CAD5S9;C6HJD3S6DA
S4HQC4D2C2;C7D7H10D3
HQCQH6C8;C3S6H2S7DA
DKC3S4C8;H9H4CQC6S9
H3S6HJC10;C5SKD9DACJ
CKH10S5D3D4;C8DQD2C10
CJC3HQC5H4;S7S3S6C4
H10C5S2C10;H2CAD10CQHJ
CAS2D5H7;SKS4C5C9SJ
HQC9S8D5S7;H4H10C3D10
HAD9C6CQS9;D5S10DJS8
C3D7HQDQS2;D8S4S10C4
S2D6S3S4;C5H6H2HQS7
D10DKC6D9SQ;D3S2S10HJ
C2C4DKS5;D9S4SJCQC6
DQCQDKSQ;C4H6C10DJH5
DAD8H5S10S8;H2S4HAC7
CKDAC4C5;D9H3SQH8DQ
C4S6C6C3;C9S5H3S10S4
DQH6C9C10H7;CJD3H9D10
S9H3H9HQ;H6CKD8H2S8
CAH4D8C10;H6D10S2SJD3
HJH5H3C8;DQH10CKS10D9
D9C2S2H7D7;C5HAD6D4
D2HKC4CJ;S3H8H7S8SK
H9C5DAS4;CQC8CKS5S8
C10DQHJH4;D5CJHAD8H8
DJC10H7C4S5;CQS4D6D8
S8DQHKH10S5DJCJH8S3
H10HQD9DQSQ;CKCQSKDJ
SQH8S9H3S7;HQH5CJC3
H5D5S10CJDA;D2H7S2S4
HQH2H7C5;H3D2SJS8D4
C3HJC6S10;CAHKC4H4C9
CQS4DJC9CK;D8D10H7S7
D7C8H7D10;C7C9HAHJDA
H9CKH3CAD6;CQS5DKSK
S9S7CQD9;D5C4DJHKC3
S6D9D5C2H9;D6CKH8S4
S5S3D7HK;DAS9D4H10D3
D2CADQH7;H6C4S2S9SK
H6CQDKH9S2;S3S5CJHJ
H4D4C8D2;HKCQDQSKCK
CKC7S3DJCJ;C6C10C8S8
S5H5C5H4SJ;DJS4D7D10
HAHQH5CAS2;C10C4H7HK
C2S4H4HAC3;S7D3H6D9
CQSJHKD8;SQS5H9H4H10
SQH2H3CQ;S3C10D4C5S7
D10CKC6S9S6;H7S8DASJ
H9D10CAHK;H10HQHADJH2
H6S6DACJH4;S4CKC7C9
S3HQS5S7;SKD10C9H10CJ
S7H8H10H4;C5HADJH6S4
DADKS3S8;DJD9C7H3HQ
DKSKC8C5;S3H9CQC10CA
S2S9HJCK;H4C8HAC7CQ
HQC7S10CADQ;DKC3H7SK
S6DJHJDK;S10SQH5H8H4
D8CAS8C8;S9HKDJS6H9
C9H2C8DQ;H8SJDASQH9
H4H10D3S5H7;H8SQC8HQ
D5HKD2C2H8;H10C3C10D10
D2D9SJDQ;CQH4C4D5S3
D9CJHAD5;D2C6S4DQSQ
C3SQC4H6;DACKHQCAC7
D10C8D5C5D8;H9CJH5D2
CKDQD9HA;C10H7C7H6CJ
H6S5CKHKS10;D9D5DQD6
H8CKCQH3;H10D4D5D7S8
HJH9SQCK;H8D7S10S3D9
C2D7HQSK;D10DKCKS7DQ
D2D8CJC2;SQS3S6CQS10
H6H2SKC9;C2C4C3D9S6
CJD10D6CK;DKCAC10S7S3
S6S10CQCK;C5HAS4H6H4
H9DKC9SQ;CAH10H2HQC7
H10HJDJD2;H8C7D10DAH5
HKH10DAH6C8;H9D5C6D6
H3HJH9DA;CJS2SQC3CK
D4S2H3DJ;SKC2HKC5D9
C10H4S5H9;S8D8D4S3S2
D7CAC7HAS2;DKDQS8C10
D2D5H10D6HJ;DCCQH4HKCA
SJS4S9HA;C8C4S3D2C5
H10C2CKC6CQ;C4D7D9S6
CAS4CJD6;C6SJH10CKS8
HQCKC8H7CQ;D2S3D10S6
H5D6H3C10;D10CQDKC7S9
DQCQC5H8HK;H9H10S9D9
CKH10H5C2;D10C7DAH7HA
H2D5HADQ;H6SJD4D9C3
CAHKC7S6CQ;S5HJDJS2
D6C2C3HQS7;C10S9D4S8
C3C5H5C8D6;SQH6D9CJ
H3H6D6H2;S5HJH7C6HA
C6DJHJD10D2;C2CAC9C7
S5DJC9D4;H9S3C2D5CK
D7SKCJHJ;H4D4CQC5H6
S8SQD6S3H10;CKC4D4D8
S9H3CQH4C5;D8D3D2D7
D2D6D8C4H2;HJS2S8C5
HQS4D5D7H5;H7D4D6S10
H10S7DKS6;S9S3CKHJSJ
C10D6D5C6;H9CKD10SQS2
H3C9D2HQS5;S2D9C5D7
CKC9SQHAD10;DQS5H7C5
SKS5DKC6D7;SQC3D4D6
D2DKH9S7SK;C2DQHJCQ
DJD5CKC2D2;H6S5SQC6
D4HQD9S8;DAC10H10SQCK
D10H6C7D9D2;C5DQS7H7
D3CJDJH9;S10S3D2D4SJ
H7S2SJH2;H5C3S8H8DQ
H9DAS10S5CK;H5SQC4CQ
DAH3D2S2HK;H4S9C8H9
C10D10CJH7S3;D9S6S7SQ
CAHAD3H10;H5S7S5H2H9
C7DACAH4C5;H7DJCQD8
CQS4D4H5;CJD8S2SJD3
SQD7H5H8H3;H7DAH6C6
D3D7S5H9;CAD5D9C4D4
D6DQHACQC4;H5H9S10C3
H8C4C7S5;D6C3DQCASQ
D2C7C2HA;D4D7S3S6C8
CAH9D6C2CK;D2D4S6C10
H6CAHJS4;S2H9D4SJD7
H2H10H8DA;H5H4S4HAD6
H5D10CAH8D4;HJCQS5C7
HKD6H3SQC9;DJDKH4CJ
S4H9C6C2;CADJS2DAD4
S2S5H3S8;C7H9D6H2CJ
D10HKH6H3;HQC8D3D5S4
S10D6S9D9;S6H5H3CAC8
H7S4S10CJ;SKSQH2DJC8
DJS5C3S8C4;C9DQSKH5
S10S3S5C4;H7CKHQCQH5
D6D3CQC8;D10DQC5H9S7
CQH9CJSKD8;D6S6HQS5
SQH7C8C7;H8D10S5C5H4
S3DAD2H6DK;H2H8D6DQ
D5S6D3HQ;H8HKCJS7CA
H6C7CJS3S4;CQC2SJD6
H7CQC6S4HA;DKH4C5D6
C3SQDQC6;CAH2HQCJS6
C5SQC4C2;CQC8S8HQC3
HAC6S2HQ;CJD4D5D2DA
HQC5D9HJ;CJHAD7S8SQ
S8DKC3HA;D9CAC6H2C4
H7CQC5S8;H10CKSQD9C6
HKSJH2SKS10;H3H5D9S7
D4DKD10C9H8;DJH9CQH3
S4H5SKH10D9;S5DKC4S2
C7HAD10S7DQ;H10D5D7H6
S6D9C2CK;H6CJH7D8C7
H7SKD5H8C6;S7SQHKS9
D3D7CKC8;C4D4C9H2C7
D5HQH7D3H5;S5H10D4C9
H4SKD2H3;S3HQH8H7DA
H3S4DKDJ;C4C3C7HQC2
H8D5S3CKC10;H5C9S9S2
CJH4C9S7;D6HQCADKCQ
C3H2S3D7H3;D5D2S2C8
H6HQH8C10;S6DAD4DJS5
DQCAD4H6S2;D9S4S6DJ
C2HQS10H4S7;S3S8C7SJ
DKH8S3HAH5;C6H7SQC7
C3H10H6C8C10;D8H9C4S2
SKHQS7D4;H2S3HAD9C8
D6SJS2H5;C5C4S9C6CA
C3D7HAD9;SQDADKD8C4
HKS3C10HQ;D3DKS8H10C8
S9C5DJS3CK;D5CAS2HK
S4D6C8CA;C3H7C7SJCQ
S9H5H2D5H8;D10H6DAC9
H3HKCKS7;SQC7H2S2D8
CKH9H3C3;HAD4SJSKSQ
DKD4S6HQC6;S10CQH6D9
DADQDJD5;D4S7CAC9CQ
D6D5H4DKC6;DQS5D9SQ
S7D6S8DJ;C6D3C9HKS5
S7H7H8H2;H9SKCAHAHJ
SKH5S9H8;H4CKC3D9C2
C5C7S9H10;CKS5C4S8DJ
HKC7D6D9S5;D5HJDJSK
C10S7D10H10S4;HAC2H3H9
DKD4H5SK;H8CKH3HJSQ
C8DJS6HJ;D7C3D2C6DK
D6SQD2H5S4;H8D4C6DQ
S9D7HKCJ;C4C8H6H5HQ
S9D7CAS3;H7H6S6C8C5
CQH7S7HK;D3S4D2HAS2
CAC6H9H8D6;D9SKSJC4
D6D10DJH10;D8HAC10D2C3
S4DAD7H3SK;C7C8CAD9
S6D4D7S3;CQS2D6S7SK
D9H5C8C9;C5H6D6DAS9
S8HQH2SK;CKDAC2S9H7
D3H10H4D4;S4HJH6CAC7
S9H2D5S6;DQHKDACJDJ
C6HAS2D5S5;D8D3S7H2
S5D10CKS3SJ;D3DKHJD9
H7D6CQH10;D5H4SJHJHQ
D4H7D3S10;C4SKS7H4C2
C10SKD9D7H9;H2S2H4C5
D3DJS7S3S8;C4SJC5S2
H9S9D7C8;D4C7SQC6D9
HKH10S4H8;C2D9HACQH4
C7C9DJH5;HJS4CKD3DQ
C4CQC2D4H6;CAS10D8HK
D7H7C9SK;S7S10S5DJDK
H5DAS6S4D7;D4DJD10SJ
SKD5C7S8;D9S6C3C6DK
HKC8C2H2;CKS6C7S10SK
D4C9D6DKC8;C5S7DAH6
SQC7CJH4;D10C3HKC9D2
H10HJDQC6;SQH5HKHAHQ
S9HQHAH3S6;C3S7CKC7
C6H2H8C2S7;C5H10CQH5
S3CKHQH7S5;C8C9D5D8
S9CKSKD4D7;HAC3SQS2
C9S5H5D9;H2HKHJS9D5
H7S10C5SKHK;S4C3S5H5
D7H4C8CKC5;H8H10HJS3
H6S7DQH4SK;S10S8DADJ
H4SKD2C3;CAS5S7CJC6
D3D5H4DQ;HKS6D10CQC9
H2SKH9HJDJ;H10D6H5DK
C7D7C6C2S2;HAS7H2S10
H3CAD7CJ;SKH10D9C3CQ
C3H2SKD4S8;DKCACKC2
HAS3D6D7D5;SJH7H9HQ
DKH5H9S6C3;D4CQH6C8
CAC8C7D8C10;H3D10S2S5
S9CQC8SKS3;C5SJC9H8
D2D9S6DAS9;CQC7SJH4
H3S6D3C7;SJH4H6SQD6
H5H10S5DKCA;D2DQD9HK
HQH6D2H7C4;H8CJC5D9
S5S2D7H7SQ;D3H2S4H9
C7S10C10D5;C9D6S3H8D7
H8C3DADK;HQHACKD2H6
H7S9DKH3;H6S3CQS2SK
H2D6D8CKH7;S5HAD2HJ
C7D3HAD9DQ;S5SJCKD5
HJS8S4H2;S6HKC2CKD8
S4D8H9DQ;H2H5HJS5S9
D6S8C6HAS3;C9DQS2HK
H7S5C6DK;H2HJH8S10D5
D2CKCJS4;HKD3D7D9D4
C3C8D10SK;S7S8CAC2SJ
DKC3S8H10;S5S2H9D4C7
H4D3H3SJ;H7S5DKH6D10
H2H10CKS7C6;D4CJD6S6
SKS7D2H9;CAH4D5H2D10
H4SKD3HAH5;S5D4S10CJ
S10H8C6D6D10;DKC8S4HA
C9H4C6C4D7;D2HQD5D6
H3S5HQDQSK;H7H2S2HA
D2C10S2CQD3;S10S3S6H2
HKC6C7C10HA;H3S8D7H9
C2C4CJC5;C3HJHKC6CK
D5H10H8H3;HJC4C2S9CK
CJD8S3SQ;SKC7H6D5C9
D5C6S5C10;HJC7S10C3SQ
HQD4DJC7H3;H6C9HJD5
S8D9D2C8CK;C4C10D5HA
C4C7DJH5C6;HQH7S10H10
DAS4S8S3S5;DJD8CKC2
H3CKHKD2CJ;D5SQD6C4
HKDQC2S7S10;SJD2CADA
H4C8H7S6S3;HJDQCASJ
D9C9DAH2;D7HJH8S9D4
DKHAC9C3;H3D9S6D10CA
C4D7CQH4;D9S2C5C2D10
H3H9SQCJCA;D10DKDJS10
C6H10D10HA;H7S4C7D2C5
H2H8S10C4;C3S4D4DAHQ
D8H7D9C9SJ;CQS9CKS3
D3D6D5C7;D4SQH5H6CA
HJDKH4C10S3;D8C2C4SQ
SKC2SJCQ;H4C9D8S6D10
C7DJC5H4;C8HQD8C3S7
D5DAS8C8DQ;C3S4C6D4
SQC6D6H2;D2C9H9CJDJ
D3H3S9H9;DKDAS6H4HK
SJS5D6CQ;H8D2S9S2DK
C8D3H4CQ;H7H3HKHAS7
HJD4C7SJ;C6D6D5CQCA
D7H6CKC5H8;H5CAC3H3
C2DJCQCK;DQS7S4C4H2
SQS5D3CQ;C3D2H6DKH10
CJH7SQH5;HKS3D9D7HA
HJDJS7CKHQ;S3C2H5DQ
S6D10S4H6;SQSKS2C4D5
HKS2SKS9;C5D3D6CKD9
H8CKS6DJD8;CJCQDAC2
DKD7S5DJ;D10HKHJC7C8
DQS8C3D7;HQH7CAS6SQ
S8CQC7S7H6;H8S6C2D2
H4SKHJC7;CAS4S5D2H9
H6SKH4S9;SQD4H10D6HJ
C6DJC4HKH4;S10D7C9H9
HJD10CKD8;H7D6D9H9S2
SJS9D7D2DA;C6D9C3H4
S3C4D3S10;D4H5D6H6CK
D9H9D8H8D4;S2H6S4HK
HQD8S5HJC8;S8SQH2S10
D2D5CJD10;D7S5HKS10C3
C2S5C9CK;C10H4D5CQC4
H6H7H8D9S9;S8S4CQHA
C7C4HQC10SK;CAH4S8DJ
SKHKC3H10S3;SQSJDJD4
S8S10D7D8C6;CACQH5D9
